0,1,2,3,4,5,6,7
CURSO,VAGAS,CHAMADA,,,,SEXO,
,,,,RELAÇÃO,,,
,,,,,,,TOTAL
,,,,ADIC.,,,
,,Conv.,L.E.,,Masc.,Fem.,
Ciência da Computação - Bacharelado - integral - Bauru,30,2,0,4,5,1,6
Ciência da Computação - Bacharelado - integral - São José do Rio Preto,35,3,2,2,6,1,7
Ciência da Computação - Bacharelado - vespertino/noturno - Presidente Prudente,35,4,1,1,4,2,6
Ciências da Computação - Bacharelado - integral - Rio Claro,30,1,0,1,2,0,2
Ciências da Computação - Bacharelado - noturno - Rio Claro,30,2,1,1,1,3,4
Engenharia Aeronáutica - integral - São João da Boa Vista,40,2,1,2,2,3,5
Engenharia Ambiental - integral - Presidente Prudente,35,2,0,0,0,2,2
Engenharia Ambiental - integral - Rio Claro,30,1,0,0,1,0,1
Engenharia Ambiental - integral - São José dos Campos,40,3,0,0,2,1,3
Engenharia Ambiental - integral - Sorocaba,40,0,1,0,0,1,1
Engenharia Biotecnológica - integral - Assis,45,3,0,1,0,4,4
Engenharia Cartográﬁ ca e de Agrimensura - integral - Presidente Prudente,40,1,0,0,0,1,1
Engenharia Civil - integral - Bauru,60,2,0,5,6,1,7
Engenharia Civil - integral - Guaratinguetá,40,7,1,0,4,4,8
Engenharia Civil - integral - Ilha Solteira,40,3,0,1,3,1,4
Engenharia Civil - integral (com ingresso no meio do ano) - Ilha Solteira,40,2,0,0,2,0,2
Engenharia de Alimentos - integral - São José do Rio Preto,30,0,0,0,0,0,0
Engenharia de Bioprocessos e Biotecnologia - integral - Araraquara,40,6,0,0,1,5,6
Engenharia de Bioprocessos e Biotecnologia - integral - Botucatu,50,3,0,2,2,3,5
Engenharia de Biossistemas - integral - Tupã,40,6,1,0,1,6,7
Engenharia de Controle e Automação - integral - Sorocaba,40,4,0,6,8,2,10
Engenharia de Energia - integral - Rosana,40,3,0,0,2,1,3
Engenharia de Materiais - integral - Guaratinguetá,40,6,0,0,2,4,6
Engenharia de Produção - integral - Guaratinguetá,30,2,3,0,0,5,5
Engenharia de Produção - vespertino/noturno - Bauru,40,2,2,1,2,3,5
Engenharia de Produção - vespertino/noturno - Itapeva,40,3,0,1,3,1,4
Engenharia Elétrica - integral - Bauru,60,6,0,2,6,2,8
Engenharia Elétrica - integral - Guaratinguetá,40,4,3,2,6,3,9
Engenharia Elétrica - integral - Ilha Solteira,40,3,0,0,3,0,3
Engenharia Elétrica - integral (com ingresso no meio do ano) - Ilha Solteira,40,4,0,4,7,1,8
Engenharia Eletrônica e de Telecomunicações - integral - São João da Boa Vista,40,1,1,0,1,1,2
Engenharia Industrial-Madeira - integral - Itapeva,40,2,0,0,0,2,2
Engenharia Mecânica - integral - Bauru,60,4,1,6,10,1,11
Engenharia Mecânica - integral - Guaratinguetá,60,10,1,1,9,3,12
Engenharia Mecânica - integral - Ilha Solteira,40,4,1,0,3,2,5
Engenharia Mecânica - integral (com ingresso no meio do ano) - Ilha Solteira,40,2,0,1,2,1,3
Engenharia Mecânica - noturno - Guaratinguetá,30,4,0,3,3,4,7
Engenharia Química - integral - Araraquara,40,2,1,1,3,1,4
Estatística - integral - Presidente Prudente,30,1,0,0,0,1,1
Física - Bacharelado e Licenciatura - integral - Rio Claro,40,2,0,0,1,1,2
Física - Bacharelado e Licenciatura - noturno - Guaratinguetá,40,3,0,3,4,2,6
Física - Bacharelado em Física Biológica e Licenciatura em Física - integral - São José do Rio,,,,,,,
,50,3,0,1,3,1,4
Preto,,,,,,,
Física - Bacharelado em Física de Materiais - vespertino/noturno e Licenciatura em Física - noturno,,,,,,,
,60,5,0,0,1,4,5
- Bauru,,,,,,,
Física - Licenciatura - noturno - Ilha Solteira,30,1,0,0,1,0,1
Física - Licenciatura - noturno - Presidente Prudente,30,0,0,0,0,0,0
Física Médica - integral - Botucatu,40,1,0,0,0,1,1
Geologia - integral - Rio Claro,35,3,1,0,2,2,4
Matemática - Bacharelado e Licenciatura - integral - Rio Claro,40,3,1,0,3,1,4
Matemática - Bacharelado e Licenciatura - integral - São José do Rio Preto,55,2,0,1,2,1,3
Matemática - Licenciatura - matutino - Presidente Prudente,40,1,0,0,1,0,1
Matemática - Licenciatura - noturno - Bauru,40,6,2,3,6,5,11
Matemática - Licenciatura - noturno - Guaratinguetá,30,4,1,0,1,4,5
Matemática - Licenciatura - noturno - Ilha Solteira,30,0,0,0,0,0,0
Matemática - Licenciatura - noturno - Presidente Prudente,50,6,0,0,4,2,6
Matemática - Licenciatura - noturno - São José do Rio Preto,45,6,1,2,2,7,9
Meteorologia - Bacharelado - integral - Bauru,40,0,0,0,0,0,0
Química - Bacharelado em Química Ambiental e Licenciatura em Química - integral - São José,,,,,,,
,50,5,0,0,3,2,5
do Rio Preto,,,,,,,
Química - Bacharelado em Química e em Química Tecnológica - integral - Araraquara,50,4,2,4,4,6,10
Química - Bacharelado em Química Tecnológica - vespertino-noturno - Bauru,20,2,0,1,0,3,3
Química - Licenciatura - noturno - Araraquara,30,2,0,0,1,1,2
Química - Licenciatura - noturno - Bauru,20,0,1,0,1,0,1
Química - Licenciatura - noturno - Presidente Prudente,40,6,0,0,2,4,6
Sistemas de Informação - Bacharelado - noturno - Bauru,40,8,0,1,8,1,9
TOTAL,2505,193,30,64,162,125,287
| 52 |,,,,,,,
