0,1,2,3,4,5,6,7,8
Pedagogia - Licenciatura - noturno - Presidente Prudente,45,31,10,4,0,5,40,45
Pedagogia - Licenciatura - noturno - Rio Claro,45,27,10,7,1,6,38,44
Pedagogia - Licenciatura - noturno - São José do Rio Preto,40,28,6,6,0,2,38,40
Pedagogia - Licenciatura - vespertino - Araraquara,50,29,0,15,6,6,38,44
Pedagogia - Licenciatura - vespertino - Presidente Prudente,35,17,0,4,14,0,21,21
Psicologia - integral - Assis,45,28,7,10,0,14,31,45
Psicologia - integral - Bauru,35,11,7,17,0,8,27,35
Psicologia - noturno - Bauru,35,22,3,10,0,14,21,35
Psicologia - vespertino/noturno - Assis,45,33,10,1,1,17,27,44
Relações Internacionais - noturno - Franca,50,30,8,11,1,20,29,49
Relações Internacionais - noturno - Marília,40,20,7,11,2,15,23,38
Relações Internacionais - vespertino - Franca,50,21,10,17,2,16,32,48
Relações Públicas - noturno - Bauru,50,24,15,9,2,20,28,48
Serviço Social - matutino - Franca,40,23,0,10,7,6,27,33
Serviço Social - noturno - Franca,50,26,0,16,8,11,31,42
Turismo - integral - Rosana,40,6,0,0,34,2,4,6
TOTAL,2965,1607,392,590,376,999,1590,2589
